government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
OT567	CPNI	Other	centre-for-the-protection-of-national-infrastructure	Centre for the Protection of National Infrastructure	https://www.gov.uk/government/organisations/centre-for-the-protection-of-national-infrastructure	the-security-service-mi5;government-communications-headquarters
OT569	BRDO	Other	better-regulation-delivery-office	Better Regulation Delivery Office	https://www.gov.uk/government/organisations/better-regulation-delivery-office	department-for-business-innovation-skills
EA570	DVSA	Executive agency	driver-and-vehicle-standards-agency	Driver and Vehicle Standards Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency	department-for-transport
PB571	Tate	Executive non-departmental public body	tate	Tate	https://www.gov.uk/government/organisations/tate	department-for-culture-media-sport
OT572		Other	wave-hub	Wave Hub	https://www.gov.uk/government/organisations/wave-hub	department-for-business-energy-and-industrial-strategy
PB573	ACAF	Advisory non-departmental public body	advisory-committee-on-animal-feedingstuffs	Advisory Committee on Animal Feedingstuffs	https://www.gov.uk/government/organisations/advisory-committee-on-animal-feedingstuffs	food-standards-agency
PB574	ACNFP	Advisory non-departmental public body	advisory-committee-on-novel-foods-and-processes	Advisory Committee on Novel Foods and Processes	https://www.gov.uk/government/organisations/advisory-committee-on-novel-foods-and-processes	food-standards-agency
PB575	ACMSF	Advisory non-departmental public body	advisory-committee-on-the-microbiological-safety-of-food	Advisory Committee on the Microbiological Safety of Food	https://www.gov.uk/government/organisations/advisory-committee-on-the-microbiological-safety-of-food	food-standards-agency
PB576	COT	Advisory non-departmental public body	committee-on-toxicity-of-chemicals-in-food-consumer-products-and-the-environment	Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment	https://www.gov.uk/government/organisations/committee-on-toxicity-of-chemicals-in-food-consumer-products-and-the-environment	food-standards-agency
PB577	GACS	Advisory non-departmental public body	general-advisory-committee-on-science	General Advisory Committee on Science	https://www.gov.uk/government/organisations/general-advisory-committee-on-science	food-standards-agency
PB578	SSRC	Advisory non-departmental public body	social-science-research-committee	Social Science Research Committee	https://www.gov.uk/government/organisations/social-science-research-committee	food-standards-agency
OT579	ICE	Other	independent-case-examiner	Independent Case Examiner	https://www.gov.uk/government/organisations/independent-case-examiner	department-for-work-pensions
PB580	NCARRB	Other	national-crime-agency-remuneration-review-body	National Crime Agency Remuneration Review Body 	https://www.gov.uk/government/organisations/national-crime-agency-remuneration-review-body	home-office
OT581	QHM	Sub-organisation	queens-harbour-master	Queen's Harbour Master	https://www.gov.uk/government/organisations/queens-harbour-master	ministry-of-defence
D582		Ministerial department	scottish-office	Scottish Office	https://www.gov.uk/government/organisations/scottish-office	
D583		Ministerial department	department-for-education-and-skills	Department for Education and Skills	https://www.gov.uk/government/organisations/department-for-education-and-skills	
D584		Ministerial department	department-of-social-security	Department of Social Security	https://www.gov.uk/government/organisations/department-of-social-security	
D585		Other	department-of-education	Department of Education (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-education	
D586		Ministerial department	department-of-trade-and-industry	Department of Trade and Industry	https://www.gov.uk/government/organisations/department-of-trade-and-industry	
D587		Ministerial department	department-for-constitutional-affairs	Department for Constitutional Affairs	https://www.gov.uk/government/organisations/department-for-constitutional-affairs	
OT588		Other	firearms-consultative-committee	Firearms Consultative Committee	https://www.gov.uk/government/organisations/firearms-consultative-committee	
OT589		Other	animal-procedures-committee	Animal Procedures Committee	https://www.gov.uk/government/organisations/animal-procedures-committee	
OT590		Other	welsh-office	Welsh Office	https://www.gov.uk/government/organisations/welsh-office	
D591		Ministerial department	department-of-the-environment	Department of the Environment (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-the-environment	
OT592		Other	monopolies-and-mergers-commission	Monopolies and Mergers Commission	https://www.gov.uk/government/organisations/monopolies-and-mergers-commission	
OT593		Other	royal-commission-on-criminal-justice	Royal Commission on Criminal Justice	https://www.gov.uk/government/organisations/royal-commission-on-criminal-justice	
OT594		Other	board-of-inland-revenue	Board of Inland Revenue	https://www.gov.uk/government/organisations/board-of-inland-revenue	
D595		Ministerial department	lord-chancellors-department	Lord Chancellor's Department	https://www.gov.uk/government/organisations/lord-chancellors-department	
OT596		Other	victoria-climbi_-inquiry	Victoria Climbié Inquiry	https://www.gov.uk/government/organisations/victoria-climbi_-inquiry	
OT597		Other	shipman-inquiry	Shipman Inquiry	https://www.gov.uk/government/organisations/shipman-inquiry	
D598		Ministerial department	department-of-constitutional-affairs	Department of Constitutional Affairs	https://www.gov.uk/government/organisations/department-of-constitutional-affairs	
OT599		Other	kerr-haslam-inquiry	Kerr / Haslam Inquiry	https://www.gov.uk/government/organisations/kerr-haslam-inquiry	
OT600		Other	office-of-the-legal-services-complaints-commissioner	Office of the Legal Services Complaints Commissioner	https://www.gov.uk/government/organisations/office-of-the-legal-services-complaints-commissioner	
EA601		Executive agency	hm-court-service	HM Courts Service	https://www.gov.uk/government/organisations/hm-court-service	
OT604		Other	review-body-for-nursing-and-other-health-professions	Review Body for Nursing and Other Health Professions	https://www.gov.uk/government/organisations/review-body-for-nursing-and-other-health-professions	
D605		Ministerial department	department-of-finance-and-personnel-for-northern-ireland	Department of Finance and Personnel for Northern Ireland	https://www.gov.uk/government/organisations/department-of-finance-and-personnel-for-northern-ireland	
OT606		Other	royal-commission-on-environmental-pollution	Royal Commission on Environmental Pollution	https://www.gov.uk/government/organisations/royal-commission-on-environmental-pollution	
D608		Ministerial department	department-for-innovation-universities-and-skills	Department for Innovation, Universities and Skills	https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills	
D609		Ministerial department	department-for-children-schools-and-families	Department for Children, Schools and Families	https://www.gov.uk/government/organisations/department-for-children-schools-and-families	
OT610		Other	office-for-criminal-justice-reform	Office for Criminal Justice Reform	https://www.gov.uk/government/organisations/office-for-criminal-justice-reform	
D611		Ministerial department	department-for-business-enterprise-and-regulatory-reform	Department for Business, Enterprise and Regulatory Reform	https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform	
OT612		Other	scottish-law-commission	Scottish Law Commission	https://www.gov.uk/government/organisations/scottish-law-commission	
OT614		Other	statistics-commission	Statistics Commission	https://www.gov.uk/government/organisations/statistics-commission	
OT615		Other	independent-monitoring-commission	Independent Monitoring Commission	https://www.gov.uk/government/organisations/independent-monitoring-commission	
OT616		Other	independent-review-of-the-uk-postal-services-sector	Independent Review of the UK Postal Services Sector	https://www.gov.uk/government/organisations/independent-review-of-the-uk-postal-services-sector	
OT618		Other	office-of-hm-paymaster-general	Office of HM Paymaster General	https://www.gov.uk/government/organisations/office-of-hm-paymaster-general	
OT619		Other	independent-review-of-police-officer-and-staff-remuneration-and-conditions	Independent Review of Police Officer and Staff Remuneration and Conditions	https://www.gov.uk/government/organisations/independent-review-of-police-officer-and-staff-remuneration-and-conditions	
OT622		Other	royal-liverpool-childrens-inquiry	Royal Liverpool Childrens Inquiry	https://www.gov.uk/government/organisations/royal-liverpool-childrens-inquiry	
EA624	QCA	Executive agency	qualifications-and-curriculum-authority	Qualifications and Curriculum Authority	https://www.gov.uk/government/organisations/qualifications-and-curriculum-authority	
OT626		Other	gaming-board-for-great-britain	Gaming Board for Great Britain	https://www.gov.uk/government/organisations/gaming-board-for-great-britain	
OT627		Other	public-accounts-commission	Public Accounts Commission	https://www.gov.uk/government/organisations/public-accounts-commission	
OT628		Other	derby-north-east-education-action-zone	Derby North East Education Action Zone	https://www.gov.uk/government/organisations/derby-north-east-education-action-zone	
OT629		Other	national-care-standards-commission	National Care Standards Commission	https://www.gov.uk/government/organisations/national-care-standards-commission	
