government-organisation	name	website	type	start-date	end date
dental-vocational-training-authority	Dental Vocational Training Authority	government/organisations/dental-vocational-training-authority	Other		31/03/2006
department-for-business-energy-and-industrial-strategy	"Department for Business, Energy & Industrial Strategy"	government/organisations/department-for-business-energy-and-industrial-strategy	Ministerial department		
department-for-business-enterprise-and-regulatory-reform	"Department for Business, Enterprise and Regulatory Reform"	government/organisations/department-for-business-enterprise-and-regulatory-reform	Ministerial department		
department-for-business-innovation-skills	"Department for Business, Innovation & Skills"	government/organisations/department-for-business-innovation-skills	Ministerial department		14/07/2016
department-for-children-schools-and-families	"Department for Children, Schools and Families"	government/organisations/department-for-children-schools-and-families	Ministerial department		
department-for-communities-and-local-government	Department for Communities and Local Government	government/organisations/department-for-communities-and-local-government	Ministerial department		
department-for-communities-northern-ireland	Department for Communities (Northern Ireland)	government/organisations/department-for-communities-northern-Ireland	Other		
department-for-constitutional-affairs	Department for Constitutional Affairs	government/organisations/department-for-constitutional-affairs	Ministerial department		
department-for-culture-media-sport	"Department for Culture, Media & Sport"	government/organisations/department-for-culture-media-sport	Ministerial department		
department-for-education	Department for Education	government/organisations/department-for-education	Ministerial department		
department-for-education-and-skills	Department for Education and Skills	government/organisations/department-for-education-and-skills	Ministerial department		2007
department-for-employment-and-learning	Department for Employment and Learning	government/organisations/department-for-employment-and-learning	Ministerial department		
department-for-environment-food-rural-affairs	"Department for Environment, Food & Rural Affairs"	government/organisations/department-for-environment-food-rural-affairs	Ministerial department		
department-for-exiting-the-european-union	Department for Exiting the European Union	government/organisations/department-for-exiting-the-european-union	Ministerial department		
department-for-infrastructure-northern-ireland	Department for Infrastructure (Northern Ireland)	government/organisations/department-for-infrastructure-northern-Ireland	Other		
department-for-innovation-universities-and-skills	"Department for Innovation, Universities and Skills"	government/organisations/department-for-innovation-universities-and-skills	Ministerial department		2009-06
department-for-international-development	Department for International Development	government/organisations/department-for-international-development	Ministerial department		
