government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
office-of-the-chief-electoral-officer-for-northern-ireland	Office of the Chief Electoral Officer for Northern Ireland	https://www.gov.uk/government/organisations/office-of-the-chief-electoral-officer-for-northern-Ireland	Other							
office-of-the-children-s-commissioner	Office of the Children's Commissioner	https://www.gov.uk/government/organisations/office-of-the-children-s-commissioner	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education						
office-of-the-commissioner-for-protection-against-unlawful-industrial-action	Office of the Commissioner for Protection Against Unlawful Industrial Action	https://www.gov.uk/government/organisations/office-of-the-commissioner-for-protection-against-unlawful-industrial-action	Other							25/10/1999
office-of-the-commissioner-for-the-rights-of-trade-union-members	Office of the Commissioner for the Rights of Trade Union Members	https://www.gov.uk/government/organisations/office-of-the-commissioner-for-the-rights-of-trade-union-members	Other							
office-of-the-data-protection-registrar	Office of the Data Protection Registrar	https://www.gov.uk/government/organisations/office-of-the-data-protection-registrar	Other							1998
office-of-the-first-minister-and-deputy-first-minister	Office of the First Minister and Deputy First Minister	https://www.gov.uk/government/organisations/office-of-the-first-minister-and-deputy-first-minister	Other							
office-of-the-health-professions-adjudicator	Office of the Health Professions Adjudicator	https://www.gov.uk/government/organisations/office-of-the-health-professions-adjudicator	Other							30-06-2012
office-of-the-identity-commissioner	Office of the Identity Commissioner	https://www.gov.uk/government/organisations/office-of-the-identity-commissioner	Other							12-2010
office-of-the-immigration-services-commissioner	Office of the Immigration Services Commissioner	https://www.gov.uk/government/organisations/office-of-the-immigration-services-commissioner	Executive non-departmental public body	https://www.gov.uk/api/organisations/home-office				OISC		
office-of-the-lay-observer	Office of the Lay Observer	https://www.gov.uk/government/organisations/office-of-the-lay-observer	Other							"still running, posted an update on their website in december 2016 http://layobservers.org/news/"
office-of-the-leader-of-the-house-of-lords	Office of the Leader of the House of Lords	https://www.gov.uk/government/organisations/office-of-the-leader-of-the-house-of-lords	Ministerial department	https://www.gov.uk/api/organisations/cabinet-office		portcullis-crest	#9c132e	OLHL		
office-of-the-legal-services-complaints-commissioner	Office of the Legal Services Complaints Commissioner	https://www.gov.uk/government/organisations/office-of-the-legal-services-complaints-commissioner	Other							
office-of-the-legal-services-ombudsman	Office of the Legal Services Ombudsman	https://www.gov.uk/government/organisations/office-of-the-legal-services-ombudsman	Other							2011
office-of-the-oversight-commissioner	Office of the Oversight Commissioner	https://www.gov.uk/government/organisations/office-of-the-oversight-commissioner	Other							31-05-2007
office-of-the-parliamentary-counsel	Office of the Parliamentary Counsel	https://www.gov.uk/government/organisations/office-of-the-parliamentary-counsel	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office				OPC		
office-of-the-police-ombudsman-for-northern-ireland	Office of the Police Ombudsman for Northern Ireland	https://www.gov.uk/government/organisations/office-of-the-police-ombudsman-for-northern-Ireland	Other							
office-of-the-public-guardian	Office of the Public Guardian	https://www.gov.uk/government/organisations/office-of-the-public-guardian	Executive agency	https://www.gov.uk/api/organisations/ministry-of-justice				OPG		
office-of-the-registrar-of-consultant-lobbyists	Office of the Registrar of Consultant Lobbyists	https://www.gov.uk/government/organisations/office-of-the-registrar-of-consultant-lobbyists	Other	https://www.gov.uk/api/organisations/cabinet-office				ORCL		
office-of-the-regulator-of-community-interest-companies	Office of the Regulator of Community Interest Companies	https://www.gov.uk/government/organisations/office-of-the-regulator-of-community-interest-companies	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				CIC Regulator		
office-of-the-schools-adjudicator	Office of the Schools Adjudicator	https://www.gov.uk/government/organisations/office-of-the-schools-adjudicator	Other	https://www.gov.uk/api/organisations/department-for-education				OSA		
official-solicitor-and-public-trustee	Official Solicitor and Public Trustee	https://www.gov.uk/government/organisations/official-solicitor-and-public-trustee	Other	https://www.gov.uk/api/organisations/ministry-of-justice				OSPT		
ofgem	Ofgem	https://www.gov.uk/government/organisations/ofgem	Non-ministerial department	https://www.gov.uk/api/organisations/department-of-energy-climate-change						
ofqual	Ofqual	https://www.gov.uk/government/organisations/ofqual	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-education				Ofqual		
ofsted	Ofsted	https://www.gov.uk/government/organisations/ofsted	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-education				Ofsted		
oftel	Oftel	https://www.gov.uk/government/organisations/oftel	Other							2003
ogcbuyingsolutions	OGCbuyingsolutions	https://www.gov.uk/government/organisations/ogcbuyingsolutions	Other							15-06-2010
oil-and-gas-authority	Oil and Gas Authority	https://www.gov.uk/government/organisations/oil-and-gas-authority	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				OGA		
oil-and-pipelines-agency	The Oil and Pipelines Agency	https://www.gov.uk/government/organisations/oil-and-pipelines-agency	Public corporation	https://www.gov.uk/api/organisations/ministry-of-defence				OPA		
olympic-delivery-authority	Olympic Delivery Authority	https://www.gov.uk/government/organisations/olympic-delivery-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				ODA		02-12-2014
one-north-east	One North East	https://www.gov.uk/government/organisations/one-north-east	Executive agency							30-06-2012
open-public-services	Open Public Services	https://www.gov.uk/government/organisations/open-public-services	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office				OPS		
ordnance-survey	Ordnance Survey	https://www.gov.uk/government/organisations/ordnance-survey	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				OS		
ordnance-survey-of-northern-ireland	Ordnance Survey of Northern Ireland	https://www.gov.uk/government/organisations/ordnance-survey-of-northern-Ireland	Executive agency							
parades-commission-for-northern-ireland	Parades Commission for Northern Ireland	https://www.gov.uk/government/organisations/parades-commission-for-northern-Ireland	Executive non-departmental public body	https://www.gov.uk/api/organisations/northern-ireland-office				PCNI		
parliamentary-contributory-pension-fund	Parliamentary Contributory Pension Fund	https://www.gov.uk/government/organisations/parliamentary-contributory-pension-fund	Other							closed maybe
parole-board	Parole Board	https://www.gov.uk/government/organisations/parole-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				Parole Board		
parole-commissioners-for-northern-ireland	Parole Commissioners for Northern Ireland	https://www.gov.uk/government/organisations/parole-commissioners-for-northern-Ireland	Other							
particle-physics-and-astronomy-research-council	Particle Physics and Astronomy Research Council	https://www.gov.uk/government/organisations/particle-physics-and-astronomy-research-council	Other							01-04-2007
passenger-focus	Passenger Focus	https://www.gov.uk/government/organisations/passenger-focus	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				PF		name changed- not listed as closed
